Latitude,Longitude,Sample Date,Total Alkalinity,Electrical Conductance,Dissolved Reactive Phosphorus,blue,green,red,nir08,swir16,swir22,image_date,days_offset,pet,ppt,tmax,tmin,q
-28.760833,17.730278,2011-01-02,128.912,555.0,10.0,9881.0,11481.0,12405.0,11761.5,7791.0,7746.0,2011-02-03T08:30:09.856025Z,32.0,174.2,8.3,35.76,21.029999,0.4
-26.861111,28.884722,2011-01-03,74.72,162.9,163.0,8924.0,9854.75,10129.0,14253.5,13797.0,11313.75,,,124.1,175.0,25.41,14.099999,8.8
-26.45,28.085833,2011-01-03,89.254,573.0,80.0,10246.0,10824.0,10213.5,19147.0,15023.5,11040.0,2010-12-31T07:55:29.618211Z,3.0,127.5,156.10000000000002,26.07,15.25,7.800000000000001
-27.671111,27.236944,2011-01-03,82.0,203.6,101.0,8924.0,9854.75,10129.0,14253.5,13797.0,11313.75,,,129.7,194.7,27.599998,15.96,16.1
-27.356667,27.286389,2011-01-03,56.1,145.1,151.0,8924.0,9854.75,10129.0,14253.5,13797.0,11313.75,,,129.2,180.4,27.21,16.15,9.0
-27.01011111,26.69808333,2011-01-04,82.2,289.8,192.0,8555.0,9305.0,9014.5,13376.5,10536.5,8924.0,2010-12-06T08:01:51.601100Z,29.0,98.6,168.5,27.849998,16.75,8.4
-25.127778,27.628889,2011-01-04,125.0,438.0,163.0,8910.0,9878.0,10115.0,15182.0,16883.0,13031.0,2010-11-20T08:00:53.858427Z,45.0,105.5,107.4,30.33,18.77,5.4
-25.20639,27.558,2011-01-04,116.62,568.0,69.0,9062.0,9929.5,9890.0,14511.5,11883.0,9968.5,2010-11-20T08:00:53.858427Z,45.0,103.700005,110.1,30.029999,18.6,5.5
-24.69514,27.40906,2011-01-04,181.831,583.0,158.0,9470.5,10521.5,10573.5,14082.5,13291.5,11540.0,2010-11-20T08:00:53.858427Z,45.0,111.8,108.2,30.519999,19.84,5.4
-26.98472222,26.63227778,2011-01-04,196.0,452.0,158.0,9763.0,10697.5,11162.5,10464.5,8177.0,7864.5,2011-01-07T08:02:08.313072Z,3.0,98.200005,170.3,28.01,17.0,8.5
