Index,blue,green,red,nir08,swir16,swir22,image_date,days_offset
12,,,,,,,,
7,9062.0,9929.5,9890.0,14511.5,11883.0,9968.5,2010-11-20T08:00:53.858427Z,45.0
10,9488.0,10802.0,11243.5,14123.5,9727.0,8519.5,2011-01-07T08:02:08.313072Z,3.0
17,9549.0,10352.0,10779.0,11076.0,7909.0,7729.5,2011-01-07T08:02:08.313072Z,2.0
2,10246.0,10824.0,10213.5,19147.0,15023.5,11040.0,2010-12-31T07:55:29.618211Z,3.0
9,9763.0,10697.5,11162.5,10464.5,8177.0,7864.5,2011-01-07T08:02:08.313072Z,3.0
6,8910.0,9878.0,10115.0,15182.0,16883.0,13031.0,2010-11-20T08:00:53.858427Z,45.0
0,9881.0,11481.0,12405.0,11761.5,7791.0,7746.0,2011-02-03T08:30:09.856025Z,32.0
8,9470.5,10521.5,10573.5,14082.5,13291.5,11540.0,2010-11-20T08:00:53.858427Z,45.0
16,,,,,,,,
19,9004.0,10072.0,9999.5,17439.0,16747.5,12545.5,2010-12-06T08:01:51.601100Z,30.0
11,8959.0,9853.0,9939.0,16111.0,14045.0,11547.0,2010-12-06T08:01:51.601100Z,29.0
18,9610.5,10324.0,10453.0,10958.5,10769.0,10431.0,2010-12-06T08:01:51.601100Z,30.0
15,10126.0,12281.0,14067.0,18810.0,22313.0,19725.5,2010-12-06T08:01:51.601100Z,29.0
13,10331.0,11862.5,13375.5,16571.5,18575.5,15882.5,2010-12-18T08:28:15.943946Z,17.0
20,8889.0,9640.0,9638.0,12845.0,10285.5,9020.0,2011-01-16T07:56:49.535557Z,10.0
5,8555.0,9305.0,9014.5,13376.5,10536.5,8924.0,2010-12-06T08:01:51.601100Z,29.0
25,9038.5,9811.5,10122.0,15168.0,13663.5,11354.5,2010-12-18T08:28:15.943946Z,19.0
28,10246.0,10824.0,10213.5,19147.0,15023.5,11040.0,2010-12-31T07:55:29.618211Z,10.0
14,,,,,,,,
23,8692.0,9123.0,9761.5,12863.0,8351.5,7948.0,2011-01-07T08:02:56.216667Z,1.0
27,10060.0,10740.0,11262.0,11246.0,7694.5,7710.0,2011-01-07T08:01:44.363362Z,3.0
4,,,,,,,,
32,,,,,,,,
29,9396.0,10724.5,11634.0,14558.0,11450.0,10000.5,2011-01-09T07:50:35.593128Z,1.0
33,9763.0,10697.5,11162.5,10464.5,8177.0,7864.5,2011-01-07T08:02:08.313072Z,4.0
3,,,,,,,,
31,,,,,,,,
34,,,,,,,,
22,9534.0,10223.0,10476.5,11704.5,10074.0,9053.0,2011-02-01T07:56:07.050552Z,26.0
1,,,,,,,,
21,9143.0,9975.0,10048.5,14408.0,12329.5,10043.5,2011-02-01T07:56:07.050552Z,26.0
36,8892.0,9791.0,9761.0,15215.0,13390.0,11085.5,2011-01-07T08:02:32.264222Z,4.0
24,9521.0,10740.0,11418.5,15444.5,15113.5,11890.5,2011-01-16T07:56:49.535557Z,10.0
37,8456.0,9019.0,9192.0,12323.0,13161.0,10800.5,2011-01-12T08:22:42.948526Z,1.0
26,,,,,,,,
38,,,,,,,,
47,,,,,,,,
48,9881.0,11481.0,12405.0,11761.5,7791.0,7746.0,2011-02-03T08:30:09.856025Z,18.0
46,10832.0,12046.5,13063.0,14599.0,12067.0,11038.5,2011-02-13T08:21:16.641302Z,31.0
49,8666.5,9732.0,9507.0,17837.5,13539.0,10302.0,2011-02-11T07:39:56.483069Z,25.0
44,9534.0,10223.0,10476.5,11704.5,10074.0,9053.0,2011-02-01T07:56:07.050552Z,19.0
35,,,,,,,,
40,,,,,,,,
43,9143.0,9975.0,10048.5,14408.0,12329.5,10043.5,2011-02-01T07:56:07.050552Z,19.0
41,10275.5,11110.0,11039.0,17263.0,14340.5,10911.5,2011-02-01T07:56:07.050552Z,20.0
30,,,,,,,,
39,,,,,,,,
45,9715.0,10561.0,10916.5,14489.5,14940.5,12882.0,2011-01-07T08:02:56.216667Z,6.0
56,,,,,,,,
55,10189.0,10746.0,10806.0,17334.0,13911.0,11046.0,2011-03-12T08:01:40.112596Z,53.0
53,10148.5,10570.5,10579.5,16308.0,15703.0,11748.5,2011-03-12T08:01:40.112596Z,53.0
50,,,,,,,,
57,9086.5,9900.5,10232.5,12853.0,11596.5,9725.5,2011-02-01T07:56:07.050552Z,14.0
54,10280.5,10717.5,10416.5,16318.0,12636.5,10113.0,2011-03-12T08:01:40.112596Z,53.0
72,,,,,,,,
65,9549.0,10352.0,10779.0,11076.0,7909.0,7729.5,2011-01-07T08:02:08.313072Z,12.0
66,10960.0,12114.0,12663.0,11613.0,8402.0,7982.0,2011-01-07T08:02:08.313072Z,12.0
42,8787.0,9491.0,9408.0,16227.0,12407.5,9783.0,2011-02-01T07:56:30.997725Z,20.0
64,9928.5,10434.0,10337.5,15486.5,12978.0,10727.5,2011-03-12T08:01:40.112596Z,52.0
74,9470.5,9930.5,10388.0,14701.0,13494.5,10810.0,2010-12-18T08:28:15.943946Z,32.0
52,8452.5,9326.0,9431.0,14514.0,12189.5,9706.0,2011-02-10T07:49:58.178174Z,24.0
