candidate,target,r2
ta_base,TA,0.2873501814258913
ta_q,TA,0.28780195593811986
ec_base,EC,0.21368431895323348
ec_plus,EC,0.22730933125074415
drp_base,DRP_reg,0.017546324074003028
drp_q,DRP_reg,0.021157880072773194
drp_plus,DRP_reg,0.025460187475477514
drp_focus,DRP_reg,0.014055761181712034
drp_base_thr48,DRP_2stage,0.030740054849136222
drp_base_thr96,DRP_2stage,0.030036679025230995
drp_base_thr128,DRP_2stage,0.04593392568485899
drp_q_thr48,DRP_2stage,0.02634548993488195
drp_q_thr96,DRP_2stage,0.03132771819507829
drp_q_thr128,DRP_2stage,0.04186914251318474
drp_plus_thr48,DRP_2stage,0.039530784555923626
drp_plus_thr96,DRP_2stage,0.042393104757131206
drp_plus_thr128,DRP_2stage,0.04978553508613481
drp_focus_thr48,DRP_2stage,0.019557628864582677
drp_focus_thr96,DRP_2stage,0.020780122431449444
drp_focus_thr128,DRP_2stage,0.03277889533912348
